NAME PORT;CODE;COUNTRY;CITY;LATITUD;LONGITUD;TYPE;;NAME SHIPPING LINE;TYPE;CODE;;transporte:;;Contenedor
Antwerpen;BEANR;BE;;51.22;4.42;ocean;;Jetairfly;air;TB-JAF;;;;
Bossuit;BEBSU;BE;;507.481.174;34.072.881;ocean;;Aerotrans Cargo;air;F5-ATG;;;;
Doel;BEDEL;BE;;513.105.976;42.649.749;ocean;;SANSA Airlines;air;RZ-LRS;;;;
Gent (Ghent);BEGNE;BE;;51.05;3.72;ocean;;Fastjet Zimbabwe;air;FN-FJW;;;;
Oostende (Ostend);BEOST;BE;;51.2;2.92;ocean;;Arkia Israeli Airlines;air;IZ-AIZ;;;;
Zeebrugge;BEZEE;BE;;51.33;3.2;ocean;;SalamAir;air;OV-OMS;;;;
Ouagadougou;BFOUA;BF;;123.714.277;-15.196.603;ocean;;Air Greenland;air;GL-GRL;;;;
Burgas;BGBOJ;BG;;425.047.926;274.626.361;ocean;;Hong Kong Airlines;air;HX-CRK;;;;
Varna;BGVAR;BG;;432.140.504;279.147.333;ocean;;Lufthansa CityLine;air;CL-CLH;;;;
Bahrain;BHBAH;BH;;26.27;50.63;ocean;;Cambodia Angkor Air;air;K6-KHV;;;;
Khalifa Bin Salman Port;BHKBS;BH;;26.2;50.62;ocean;;Sky Airline;air;H2-SKU;;;;
Manama;BHMAN;BH;;262.285.161;505.860.497;ocean;;Fly540;air;5H-FFV;;;;
Sitrah;BHSIT;BH;;26.13;50.62;ocean;;Auric Air Services;air;UI-AUK;;;;
Cotonou;BJCOO;BJ;;63.702.928;23.912.362;ocean;;Niki;air;HG-NLY;;;;
Hamilton;BMBDA;BM;;32.294.816;-64.781.375;ocean;;Hainan Airlines;air;HU-CHH;;;;
Southampton;BMSOU;BM;;509.097.004;-14.043.509;ocean;;Click Airways;air;C4-CGK;;;;
Bandar Seri Begawan;BNBWN;BN;;4.88;114.93;ocean;;Air Côte d\Ivoire;air;HF-VRE;;;;
Kuala Belait;BNKUB;BN;;45.831.986;1.142.212.174;ocean;;Aero Express Del Ecuador;air;7T-RTM;;;;
Muara;BNMUA;BN;;50.333.206;1.150.732.883;ocean;;Eritrean Airlines;air;B8-ERT;;;;
Puerto Busch;BOPBU;BO;;-20.033.333;-57.966.667;ocean;;Freebird Airlines;air;FH-FHY;;;;
Santa Cruz;BOSRZ;BO;;-17.78;-63.18;ocean;;Airnorth;air;TL-ANO;;;;
Aratu;BRARB;BR;;-127.855.854;-384.560.755;ocean;;Avion Express;air;X9-NVD;;;;
Areia Branca;BRARE;BR;;-4.98;-37.17;ocean;;FitsAir;air;8D-EXV;;;;
Belem;BRBEL;BR;;-1.45;-48.5;ocean;;Beijing Capital Airlines;air;JD-CBJ;;;;
Cabedelo;BRCDO;BR;;-69.877.215;-348.287.221;ocean;;Asian Express Airline;air;KV-TXP;;;;
Forno;BRFNO;BR;;-227.583.647;-418.807.698;ocean;;Alitalia;air;AZ-AZA;;;;
Fortaleza;BRFOR;BR;;-37.318.616;-385.266.704;ocean;;SereneAir;air;ER-SEP;;;;
Imbituba;BRIBB;BR;;-28.227.627;-486.691.286;ocean;;SiAvia;air;KT-SVB;;;;
Itaguai;BRIGI;BR;;-22.87;-43.77;ocean;;City Airways;air;E8-GTA;;;;
Itapoa;BRIOA;BR;;-26.12;-48.6;ocean;;Endeavor Air;air;9E-EDV;;;;
Ilheus;BRIOS;BR;;-147.935.051;-390.463.797;ocean;;Bluebird Cargo;air;BO-BBD;;;;
Itabirito;BRIRO;BR;;-202.530.617;-438.030.567;ocean;;Aruba Airlines;air;AG-ARU;;;;
Itajai;BRITJ;BR;;-269.105.964;-486.709.514;ocean;;Regional Air Services;air;8N-REG;;;;
Itaqui;BRITQ;BR;;-291.294.007;-565.481.122;ocean;;Fuji Dream Airlines;air;JH-FDA;;;;
Itapemirim;BRITZ;BR;;-210.100.062;-408.310.577;ocean;;Montenegro Airlines;air;YM-MGX;;;;
Manaus;BRMAO;BR;;-31.190.275;-600.217.314;ocean;;Laudamotion;air;OE-LDM;;;;
Maceio;BRMCZ;BR;;-9.67;-35.72;ocean;;Azimuth;air;A4-MUT;;;;
Natal;BRNAT;BR;;-57.792.569;-35.200.916;ocean;;Lynden Air Cargo;air;L2-LYC;;;;
Navegantes;BRNVT;BR;;-26.9;-48.65;ocean;;Cebgo;air;DG-SRQ;;;;
Portocel;BRPCL;BR;;-191.834.229;-403.088.626;ocean;;V Air;air;ZV-VAX;;;;
Pecem;BRPEC;BR;;-3.52;-38.87;ocean;;West Atlantic;air;PT-NPT;;;;
Paranagua;BRPNG;BR;;-25.52;-48.5;ocean;;I-Fly;air;H5-RSY;;;;
Paranã;BRPNN;BR;;-126.162.809;-478.759.329;ocean;;ASL Airlines Ireland;air;AG-ABR;;;;
Porto Alegre;BRPOA;BR;;-300.346.471;-512.176.584;ocean;;Jin Air;air;LJ-JNA;;;;
Recife;BRREC;BR;;-80.578.381;-348.828.969;ocean;;Aurigny Air Services;air;GR-AUR;;;;
Rio Grande;BRRIG;BR;;-320.353.776;-521.075.802;ocean;;40 Mile Air;air;Q5-MLA;;;;
Rio de Janeiro;BRRIO;BR;;-229.068.467;-431.728.965;ocean;;Cobham Aviation Services Australia;air;NC-JTE;;;;
Salto Grande;BRSAL;BR;;-228.898.683;-499.836.057;ocean;;Air Malta;air;KM-AMC;;;;
Sao Francisco do Sul;BRSFS;BR;;-262.584.141;-486.348.454;ocean;;Skytrans;air;QN-SKP;;;;
Porto de Itaguai;BRSPB;BR;;-22.92;-43.82;ocean;;Harbour Air Seaplanes;air;H3-HES;;;;
Salvador;BRSSA;BR;;-129.730.401;-38.502.304;ocean;;Thai Airways International;air;TG-THA;;;;
Sao Sebastiao;BRSSO;BR;;-238.063.468;-454.016.534;ocean;;Cinnamon Air;air;C7-CIN;;;;
Santos;BRSSZ;BR;;-23.95;-46.33;ocean;;FlyValan;air;F6-FXP;;;;
Santarem;BRSTM;BR;;-24.506.291;-547.009.228;ocean;;Air Bishkek;air;KR-EAA;;;;
Suape;BRSUA;BR;;-83.536.618;-349.575.528;ocean;;FMI Air;air;ND-FMI;;;;
Vitoria da Conquista;BRVDC;BR;;-14.85;-40.85;ocean;;SilkAir;air;MI-SLK;;;;
Vila do Conde;BRVIC;BR;;-7.27;-34.9;ocean;;Orenair;air;R2-ORB;;;;
Vitoria;BRVIX;BR;;-202.976.178;-402.957.768;ocean;;Cubana;air;CU-CUB;;;;
Vila do Conde;BRVLC;BR;;-1.53;-48.75;ocean;;Al Naser Wings;air;NG-NAD;;;;
Freeport;BSFPO;BS; Grand Bahama;0;265.416.093;-786.455.475;;Horizon Air;air;QX-QXE;;;;
Nassau;BSNAS;BS;;25.08;-77.35;ocean;;Blue Air;air;0B-BMS;;;;
Minsk;BYMSQ;BY;;539.045.398;275.615.244;ocean;;Contour Airlines;air;LF-VTE;;;;
Belize City;BZBZE;BZ;;175.045.661;-881.962.133;ocean;;Iran Airtour;air;B9-IRB;;;;
Bathurst;CABAT;CA;;476.183.507;-656.513.358;ocean;;Air Koryo;air;JS-KOR;;;;
Brockville;CABCK;CA;;445.895.244;-756.842.858;ocean;;Iraqi Airways;air;IA-IAW;;;;
Baie d'Urfe;CABDU;CA;;45.4;-73.92;ocean;;Ibex Airlines;air;FW-IBX;;;;
Becancour;CABEC;CA;;46.33;-72.43;ocean;;Shanghai Airlines;air;FM-CSH;;;;
Baie-Johan-Beetz;CABJO;CA;;50.3;-62.83;ocean;;Private Wings;air;8W-PWF;;;;
Burlington;CABRL;CA;;433.255.196;-797.990.319;ocean;;Gol Transportes Aéreos;air;G3-GLO;;;;
Calgary;CACAL;CA;;51.03;-114.07;ocean;;Skippers Aviation;air;HK--;;;;
Corner Brook;CACBK;CA;;48.95;-57.93;ocean;;Air New Zealand;air;NZ-ANZ;;;;
Cowichan Bay;CACCB;CA;;487.373.094;-1.236.215.503;ocean;;Hokkaido Air System;air;6L-NTH;;;;
Collingwood;CACOL;CA;;445.007.687;-802.169.047;ocean;;UNI Airways;air;B7-UIA;;;;
Crofton;CACRO;CA;;48.863.844;-1.236.457.977;ocean;;KLM Cityhopper;air;WA-KLC;;;;
Cornwall;CACWL;CA;;450.212.762;-74.730.345;ocean;;LADE - Lineas Aéreas del Estado;air;5U-LDE;;;;
Dorval;CADOR;CA;;454.503.213;-737.500.485;ocean;;Cobalt Air;air;CO-FCB;;;;
Drummondville;CADRU;CA;;458.802.909;-724.842.824;ocean;;Air Marshall Islands;air;CW-MRS;;;;
Edmonton;CAEDM;CA;;53.544.389;-1.134.909.267;ocean;;NetJets Europe;air;1I-NJE;;;;
Halifax;CAHAL;CA;;446.488.625;-635.753.196;ocean;;Blue Islands;air;SI-BCI;;;;
Hamilton;CAHAM;CA;;432.500.208;-798.660.914;ocean;;Shaheen Air International;air;NL-SAI;;;;
Harmac;CAHMC;CA;;49.13;-123.85;ocean;;Ryanair;air;FR-RYR;;;;
Kingsville;CAKVL;CA;;420.362.841;-827.389.809;ocean;;VLM Airlines;air;VO-TCW;;;;
Magog;CAMAG;CA;;452.664.863;-721.479.889;ocean;;Conviasa;air;V0-VCV;;;;
Moncton;CAMNT;CA;;460.878.165;-647.782.313;ocean;;Indonesia AirAsia;air;QZ-AWQ;;;;
Montreal;CAMTR;CA;;455.016.889;-73.567.256;ocean;;Batik Air;air;ID-BTK;;;;
Niagara Falls;CANIA;CA;;430.895.577;-790.849.436;ocean;;Air Transat;air;TS-TSC;;;;
Nanaimo;CANNO;CA;;491.658.836;-1.239.400.647;ocean;;Norwegian Air International;air;D8-IBK;;;;
North Bay;CANOR;CA;;46.3;-79.45;ocean;;Aviastar;air;MV-VIT;;;;
New Westminster;CANWE;CA;;492.057.179;-122.910.956;ocean;;Amaszonas Uruguay;air;Z7-AUZ;;;;
Oakville;CAOAK;CA;;43.467.517;-796.876.659;ocean;;WOW air;air;WW-WOW;;;;
Odessa;CAODE;CA;;442.770.379;-767.182.925;ocean;;Helvetic Airways;air;2L-OAW;;;;
Oshawa;CAOSH;CA;;438.970.929;-788.657.912;ocean;;Philippine Airlines;air;PR-PAL;;;;
Port Credit;CAPCR;CA;;435.516.151;-79.585.628;ocean;;Pacific Coastal Airlines;air;8P-PCO;;;;
Port Dover;CAPDV;CA;;427.865.225;-802.032.779;ocean;;Alpine Aviation;air;5A-AIP;;;;
Port Mellon;CAPML;CA;;495.217.479;-1.234.880.588;ocean;;ATA Airlines;air;I3-TBZ;;;;
Pointe-Claire;CAPOI;CA;;45.43;-73.73;ocean;;Anisec;air;VK-FOO;;;;
Prince Rupert;CAPRR;CA;;543.150.367;-1.303.208.187;ocean;;Fiji Airways;air;FJ-FJI;;;;
Quebec;CAQUE;CA;;468.032.826;-71.242.796;ocean;;Air Pohang;air;AB-KAB;;;;
Saskatoon;CASAK;CA;;521.332.144;-1.066.700.458;ocean;;Air North;air;4N-ANT;;;;
Saint-Catharines;CASCA;CA;;43.17;-79.23;ocean;;Mercury World Cargo;air;4X--;;;;
Saint-John;CASJB;CA;;45.27;-66.07;ocean;;Wamos Air;air;EB-PLM;;;;
Saint-John's;CASJF;CA;;47.57;-52.73;ocean;;Air Libya;air;7Q-TLR;;;;
Sarnia;CASNI;CA;;42.974.536;-824.065.901;ocean;;Sriwijaya Air;air;SJ-SJY;;;;
Sorel;CASOR;CA;;46.042.825;-73.112.302;ocean;;Air Cargo Carriers;air;2Q-SNC;;;;
Sault - Sainte - Marie;CASSM;CA;;46.521.858;-843.460.896;ocean;;SkyJet Airlines;air;M8-MSJ;;;;
Stoney Creek;CASTC;CA;;432.272.182;-797.195.586;ocean;;Tradewind Aviation;air;TJ-GPD;;;;
Summerside;CASUM;CA;;463.933.777;-637.902.331;ocean;;Regional Cargo;air;F2-RCQ;;;;
Texada Island;CATEX;CA;;496.596.634;-1.244.121.947;ocean;;Jeju Air;air;7C-JJA;;;;
Thunder Bay;CATHU;CA;;483.808.951;-892.476.823;ocean;;Aero Mongolia;air;M0-MNG;;;;
Toronto;CATOR;CA;;43.653.226;-793.831.843;ocean;;Air Moldova;air;9U-MLD;;;;
Trois - Rivieres(Three Rivers);CATRR;CA;;46.359.242;-725.475.259;ocean;;Star East Airlines;air;4R-SEK;;;;
Trenton;CATTC;CA;;441.011.263;-77.576.313;ocean;;Silk Way West Airlines;air;7L-AZG;;;;
Vancouver;CAVAN;CA;;492.827.291;-1.231.207.375;ocean;;Qingdao Airlines;air;QW-QDA;;;;
Valleyfield;CAVLF;CA;;45.25;-74.13;ocean;;Eastar Jet;air;ZE-ESR;;;;
Winona;CAWIN;CA;;432.079.596;-796.509.165;ocean;;Amakusa Airlines;air;MZ-AHX;;;;
Winnipeg;CAWNP;CA;;498.997.541;-971.374.937;ocean;;Peruvian Airlines;air;P9-PVN;;;;
Boma;CDBOA;CD;;13.022.875;-58.347.218;ocean;;Yanair;air;YE-ANR;;;;
Matadi;CDMAT;CD;;134.509.856;-58.237.941;ocean;;Hunnu Air;air;MR-MML;;;;
Pointe Noire;CGPNR;CG;;-47.691.623;11.866.362;ocean;;Uzbekistan Airways;air;HY-UZB;;;;
Abidjan;CIABJ;CI;;53.599.517;-40.082.563;ocean;;Jubba Airways;air;3J-JUB;;;;
San - Pedro;CISPY;CI;;4.73;-6.62;ocean;;Air Iceland Connect;air;NY-FXI;;;;
Antofagasta;CLANF;CL;;-23.63;-70.38;ocean;;TAME Linea Aérea del Ecuador;air;EQ-TAE;;;;
Arica;CLARI;CL;;-18.48;-70.32;ocean;;Andes Líneas Aéreas;air;OY-ANS;;;;
Bahia San Gregorio;CLBAG;CL;;-52.62;-70.13;ocean;;Alidaunia;air;D4-LID;;;;
Barquito;CLBAR;CL;;-26.35;-70.63;ocean;;Thai Smile;air;WE-THD;;;;
San Vicente;CLCAP;CL;;433.813.069;-4.397.058;ocean;;Raya Airways;air;TH-RMY;;;;
Calbuco;CLCBC;CL;;-41.75;-73.13;ocean;;Borajet;air;YB-BRJ;;;;
Caleta Coloso;CLCCL;CL;;-184.350.352;-702.937.179;ocean;;Lucky Air;air;8L-LKE;;;;
Chacabuco;CLCHB;CL;;-45.48;-72.82;ocean;;Aerologic;air;3S-BOX;;;;
Caldera;CLCLD;CL;;-27.03;-70.8;ocean;;Eastern Airways;air;T3-EZE;;;;
Coronel;CLCNL;CL;;-37.02;-73.15;ocean;;Sky Gates Airlines;air;U3-SAY;;;;
Chanaral;CLCNR;CL;;-26.35;-70.62;ocean;;Nauru Airlines;air;ON-RON;;;;
Cabo Negro;CLCNX;CL;;-52.97;-70.85;ocean;;SATENA;air;9R-NSE;;;;
Coquimbo;CLCQQ;CL;;-29.97;-71.33;ocean;;Coastal Aviation;air;CQ-CSV;;;;
Corral;CLCRR;CL;;-39.87;-73.43;ocean;;Bek Air;air;Z9-BEK;;;;
Dalcahue;CLDCH;CL;;-42.38;-73.67;ocean;;Neos;air;NO-NOS;;;;
Guayacan;CLGYC;CL;;-29.98;-71.37;ocean;;Air Canada;air;AC-ACA;;;;
Huasco;CLHSO;CL;;-28.45;-71.22;ocean;;Emirates Airlines;air;EK-UAE;;;;
Isla de Pascua;CLIPC;CL;;-27.15;-109.42;ocean;;Air Manus;air;ZM-MBB;;;;
Iquique;CLIQQ;CL;;-20.22;-70.13;ocean;;Germania Flug;air;GM-GSW;;;;
Jureles;CLJRL;CL;;-732.265.222;-369.721.439;ocean;;RusLine;air;7R-RLU;;;;
Los Vilos;CLLOS;CL;;-31.9;-71.5;ocean;;Elite Airways;air;7Q-MNU;;;;
Lirquen;CLLQN;CL;;-36.7;-72.98;ocean;;Alliance Airlines;air;QQ-UTY;;;;
Las Ventanas;CLLVS;CL;;-33.27;-71.65;ocean;;Karun Airlines;air;NV-IRG;;;;
Michilla;CLMCH;CL;;-227.183.138;-702.776.898;ocean;;Viva Air Colombia;air;FC-VVC;;;;
Mejillones;CLMJS;CL;;-23.1;-70.45;ocean;;Ryanair Sun;air;RR-RYS;;;;
Puerto Angamos;CLPAG;CL;;-23.08;-70.45;ocean;;Shandong Airlines;air;SC-CDG;;;;
Puerto Chacabuco;CLPCH;CL;;-45.48;-72.83;ocean;;Aztec Airways;air;AJ-AZY;;;;
Penco;CLPEO;CL;;-36.72;-72.98;ocean;;WestJet Airlines;air;WS-WJA;;;;
Punta Chungo;CLPGO;CL;;-715.038.607;-31.885.551;ocean;;Iliamna Air Taxi;air;V8-IAR;;;;
Puerto Montt;CLPMC;CL;;-41.47;-72.95;ocean;;Myanma Airways;air;UB-UBA;;;;
Puerto Natales;CLPNT;CL;;-51.72;-72.5;ocean;;Novoair;air;VQ-NVQ;;;;
Punta Patache;CLPPC;CL;;-20.82;-70.22;ocean;;CargoLogicAir;air;P3-CLU;;;;
Punta Padrones;CLPPD;CL;;-70.841.904;-270.522.946;ocean;;Coastal Air Transport;air;DQ-CXT;;;;
Quellon(Puerto Quellon);CLPTE;CL;;-43.1;-73.62;ocean;;MASwings;air;MH-MWG;;;;
Patillos;CLPTI;CL;;-20.75;-70.18;ocean;;Malindo Air;air;OD-MXD;;;;
Punta Arenas;CLPUQ;CL;;-53.13;-70.93;ocean;;Boutique Air;air;4B-BTQ;;;;
Quemchi;CLQMC;CL;;-42.13;-73.48;ocean;;Aerogaviota;air;KG-GTV;;;;
Quintero;CLQTV;CL;;-32.77;-71.53;ocean;;ASKY Airlines;air;KP-SKK;;;;
San Antonio;CLSAI;CL;;-33.6;-71.6;ocean;;Air Incheon;air;KJ-AIH;;;;
