ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;EMISION_DATE_PO;ROUTE_LABEL;TOTAL_AMOUNT;CURRENCY;CATEGORY;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DEPARTURE_PORT_ID;ARRIVAL_PORT_ID;DATE_THEORICAL_LOAD;DATE_CARGA_PO;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;INVOICE;INVOICE_AMOUNT;APPLY_TECHNICAL_NOTE;APPLIES_TLC;REASON;CUSTOMER_TYPE;TRADING_COMPANY;Estado o Etapa;Contenedor;Naviera;Tipo de contenedor;Documento de transito;Solicitud de booking;Autorizacion de booking;Fecha de asignacion de agente de carga;ETD inicial;ETD variable;ATD;ETA Inicial;ETA Variable;ATA;Monto de flete;Factura de flete;Tipo de tarifa;Proveedor de servicio;Ingreso a AF;Salida de Almacen fiscal;Usa Almacen fiscal
6701293;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);19140,00;USD;<null>;FOB  ;FOB  ;FOB  ;71;127;2026-03-01;2026-03-01;<null>;BINTER TRADE LLC. (Dropship GT);<null>;<null>;<null>;Pedido Extra GT CNY 25 Dinámica #5;<null>;<null>;false;false;PROMOCIÓN;EPA;OLO6;Booking;BRU6701293;CMA CGM;Contenedor 40 HC;0;26-02-26;26-02-26;16/02/2026;25-03-26;25-03-26;;;;;0;0;0;SPARX;0;0;N
6701294;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);19140,00;USD;<null>;FOB  ;FOB  ;FOB  ;71;127;2026-05-20;2026-05-20;<null>;BINTER TRADE LLC. (Dropship GT);<null>;<null>;<null>;Pedido Extra GT CNY 25 Dinámica #6;<null>;<null>;false;false;PROMOCIÓN;EPA;OLO6;Produccion;BRU6701294;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
6701295;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);19140,00;USD;<null>;FOB  ;FOB  ;FOB  ;71;127;2026-05-20;2026-05-20;<null>;BINTER TRADE LLC. (Dropship GT);<null>;<null>;<null>;Pedido Extra GT CNY 25 Dinámica #7;<null>;<null>;false;false;PROMOCIÓN;EPA;OLO6;Produccion;BRU6701295;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
6701300;904;INTCO INTERNATIONAL(HK) CO., LIMITED 2;82;2025-08-21;Directo VE - FERRETERIA EPA, C.A.;26481,34;USD;<null>;FOB  ;CIF  ;FOB  ;91;116;2025-10-07;2025-10-07;7237;BINTER TRADE LLC. (Dropship EPA - VE) ;-- N/A --;101465;2025-12-22;VE;LAIRA250010;26481,34;false;false;PEDIDO COMPRA;EPA;OLO6;Transito;GAOU7030883;CMA CGM;Contenedor 40ft;BJPBL2500065;06-11-25;06-11-25;07/10/2025;11-12-25;18-12-25;12-12-25;09-02-26;01-02-26;;4900;IOLFT25-926;FAK;IN OCEAN;0;0;N
6701303;890;RAIYUAN INDUSTRIAL LIMITED;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);30402,50;USD;<null>;FOB  ;FOB  ;FOB  ;93;127;2025-12-15;2025-12-15;7321;BINTER TRADE LLC. (Dropship GT);-- N/A --;101547;2026-01-08;Pedido GT Agosto 25 CNY #3;BCA6701303;30402,50;false;false;CNY;EPA;OLO6;Transito;HLBU1159434;HAPAG LLOYD;Contenedor 40 HC;ASCAN501910;10-12-25;10-12-25;;22-12-25;05-01-26;25-12-25;18-02-26;19-02-26;;3845;0;NAC;0;0;0;N
6701305;890;RAIYUAN INDUSTRIAL LIMITED;85;2025-08-21;Directo SV - FERRETERIA EPA, S.A. DE C.V.;25298,90;USD;<null>;FOB  ;FOB  ;FOB  ;93;122;2025-12-15;2025-12-15;7318;BINTER TRADE LLC. (Dropship SV);-- N/A --;101541;2026-01-08;Pedido SV Agosto 25 CNY #5;BCA6701305;25298,90;false;false;CNY;EPA;OLO6;Transito;TCLU8126293;HAPAG LLOYD;Contenedor 40 HC;ASCAN501911;10-12-25;10-12-25;;17-12-25;31-12-25;19-12-25;09-02-26;20-02-26;;3710;0;NAC;0;0;0;N
6701307;890;RAIYUAN INDUSTRIAL LIMITED;85;2025-08-21;Directo VE - FERRETERIA EPA, C.A.;28647,98;USD;<null>;FOB  ;CIF  ;FOB  ;93;116;2025-12-15;2025-12-15;7394;BINTER TRADE LLC. (Dropship EPA - VE) ;-- N/A --;101641;2026-01-16;Pedido VZ Agosto 25 CNY #7;BCA6701307;28647,98;false;false;CNY;EPA;OLO6;Ingresada;CMAU7571562;CMA CGM;Contenedor 40 HC;BJPBL2500087;11-12-25;11-12-25;;16-12-25;31-12-25;27-12-25;24-02-26;28-02-26;01-03-26;4350;IOLFT25-968;FAK;0;0;0;N
6701314;406;ZHIXING FURNITURE CO., LTD., SHUNDE DISTRICT FOSHAN CITY   ;85;2025-08-21;Directo CR - FERRETERIA EPA, S.A.;14638,00;USD;<null>;FOB  ;FOB  ;FOB  ;93;125;2026-03-01;2026-03-01;7674;BINTER TRADE LLC. (Dropship CR);-- N/A --;101945;2026-03-16;Directo CR Agosto 25 CNY #3;ZONE260305A;14638,00;false;true;CNY;EPA;OLO6;Transito;HAMU3296610;HAPAG LLOYD;Contenedor 40 HC;HSZX00036284;06-01-26;06-02-26;05/01/2026;12-03-26;19-03-26;12-03-26;24-04-26;24-04-26;;4500;0;NAC;SPARX;0;0;N
6701317;406;ZHIXING FURNITURE CO., LTD., SHUNDE DISTRICT FOSHAN CITY   ;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);14240,00;USD;<null>;FOB  ;FOB  ;FOB  ;93;127;2026-03-01;2026-03-01;<null>;BINTER TRADE LLC. (Dropship GT);<null>;<null>;<null>;Directo GT Agosto 25 CNY #6;<null>;<null>;false;false;CNY;EPA;OLO6;Transito;FANU1607504;HAPAG LLOYD;Contenedor 40 HC;HSZX00036285;06-01-26;10-02-26;05/01/2026;12-03-26;19-03-26;12-03-26;17-04-26;17-04-26;;4500;0;NAC;SPARX;0;0;N
6701328;461;HANGZHOU UNI-HOSEN ELECTROMECHICAL TOOLS CO.,LTD.          ;85;2025-08-26;GL SV - FERRETERIA EPA, S.A. DE C.V.;39001,50;USD;<null>;FOB  ;FOB  ;FOB  ;71;122;2025-11-10;2025-11-10;7618;BINTER TRADE LLC. (Zona Franca SV);-- N/A --;101869;2026-02-25;GL SV #2 Ago 25 CNY;25HSA69BM6701328;39001,50;false;false;CNY;EPA;OLO6;Transito;HAMU1137820;HAPAG LLOYD;Contenedor 40 HC;ASNGB511717;07-11-25;07-11-25;21/10/2025;04-12-25;10-12-25;03-12-25;16-01-26;03-02-26;;3420;0;NAC;AIR SEA WORLDWIDE;0;0;N
